Year,BranchCode,Registrations
2021,BR,1031
2021,BRW,1199
2021,BUR,217
2021,CC,494
2021,CE,819
2021,CED,1518
2021,CH,28
2021,CL,3894
2021,CS,625
2021,DA,589
2021,DM,940
2021,DO,801
2021,DP,1186
2021,DR,550
2021,DS,29
2021,DT,51
2021,DU,501
2021,EA,1166
2021,EB,209
2021,EG,249
2021,EN,1224
2021,ES,896
2021,FH,500
2021,FO,2709
2021,FP,536
2021,FV,2589
2021,GE,311
2021,GHP,404
2021,GW,239
2021,HB,210
2021,HC,496
2021,HIL,499
2021,HLS,37
2021,HP,629
2021,HS,204
2021,HW,254
2021,JD,540
2021,JO,372
2021,JS,564
2021,KE,726
2021,LB,387
2021,LE,851
2021,LO,842
2021,LS,1927
2021,MA,521
2021,MAL,1097
2021,MAS,727
2021,MCG,608
2021,MD,323
2021,MI,527
2021,MP,4
2021,MRV,449
2021,MS,663
2021,ND,1765
2021,NE,175
2021,NT,260
2021,OV,431
2021,PA,746
2021,PE,136
2021,PK,1225
2021,PL,1001
2021,PM,556
2021,PU,245
2021,PV,245
2021,QS,190
2021,RD,584
2021,RI,1232
2021,RN,995
2021,RX,173
2021,SA,663
2021,SB,24
2021,SC,1214
2021,SI,254
2021,SJ,350
2021,SL,1068
2021,SP,267
2021,ST,418
2021,SW,1
2021,SWS,648
2021,TA,245
2021,TH,580
2021,TOD,50
2021,TRL,3815
2021,VIR,44259
2021,VV,226
2021,WE,488
2021,WP,190
2021,WS,754
2021,WY,18
2021,YO,464
2021,YW,415
2022,AB,5093
2022,ACD,1577
2022,AD,711
2022,AG,2959
2022,AH,398
2022,AN,905
2022,AP,1019
2022,BB,933
2022,BC,994
2022,BD,942
2022,BE,1587
2022,BF,2125
2022,BKONE,114
2022,BL,2694
2022,BR,2116
2022,BRW,2632
2022,BUR,835
2022,CC,1154
2022,CE,1848
2022,CED,3543
2022,CH,1938
2022,CL,9855
2022,CS,1044
2022,DA,1296
2022,DM,1982
2022,DO,1978
2022,DP,1792
2022,DR,1149
2022,DS,1
2022,DT,367
2022,DU,1010
2022,EA,2771
2022,EB,514
2022,EG,584
2022,EN,2031
2022,ES,1928
2022,FH,889
2022,FO,4509
2022,FP,1221
2022,FV,5675
2022,GE,509
2022,GHP,819
2022,GW,430
2022,HB,651
2022,HC,811
2022,HIL,771
2022,HLS,37
2022,HP,1167
2022,HS,481
2022,HW,574
2022,JD,1404
2022,JO,748
2022,JS,1398
2022,KE,1859
2022,LB,736
2022,LE,1432
2022,LO,1204
2022,LS,3242
2022,MA,1040
2022,MAL,2799
2022,MAS,1424
2022,MCG,1434
2022,MD,866
2022,MI,935
2022,MP,7
2022,MRV,1340
2022,MS,1557
2022,ND,3819
2022,NE,380
2022,NT,698
2022,OV,691
2022,PA,1515
2022,PE,442
2022,PK,2718
2022,PL,1873
2022,PM,879
2022,PU,838
2022,PV,582
2022,QS,620
2022,RD,976
2022,RI,3175
2022,RN,2074
2022,RX,365
2022,SA,1257
2022,SB,81
2022,SC,2536
2022,SI,450
2022,SJ,1864
2022,SL,1880
2022,SP,747
2022,ST,1097
2022,SW,157
2022,SWS,1488
2022,TA,408
2022,TH,1589
2022,TOD,183
2022,TRL,9448
2022,VIR,28250
2022,VV,444
2022,WE,1080
2022,WP,413
2022,WS,1788
2022,WY,1035
2022,YO,1081
2022,YW,1116
2023,AB,7208
2023,ACD,3161
2023,AD,943
2023,AG,3984
2023,AH,442
2023,AN,1355
2023,AP,1196
2023,BB,1048
2023,BC,1369
2023,BD,1517
2023,BE,1993
2023,BF,2830
2023,BKONE,105
2023,BL,3396
2023,BR,2961
2023,BRW,3283
2023,BUR,1618
2023,CC,1453
2023,CE,2540
2023,CED,4041
2023,CH,3589
2023,CL,13833
2023,CS,1480
2023,DA,1617
2023,DM,2553
2023,DO,2936
2023,DP,2149
2023,DR,1442
2023,DS,85
2023,DT,405
2023,DU,1319
2023,EA,3566
2023,EB,662
2023,EG,603
2023,EN,3265
2023,ES,2525
2023,FH,1161
2023,FO,6741
2023,FP,1749
2023,FV,6569
2023,GE,838
2023,GHP,1314
2023,GW,632
2023,HB,969
2023,HC,1424
2023,HIL,1212
2023,HLS,41
2023,HP,1607
2023,HS,761
2023,HW,855
2023,JD,1871
2023,JO,1059
2023,JS,2060
2023,KE,2764
2023,LB,1216
2023,LE,1717
2023,LO,2403
2023,LS,4316
2023,MA,1332
2023,MAL,3948
2023,MAS,1944
2023,MCG,2054
2023,MD,1118
2023,MI,1405
2023,MP,606
2023,MRV,3200
2023,MS,2181
2023,ND,4893
2023,NE,598
2023,NT,985
2023,OS,71
2023,OV,720
2023,PA,2196
2023,PE,582
2023,PK,3244
2023,PL,2364
2023,PM,1115
2023,PU,1254
2023,PV,1157
2023,QS,811
2023,RD,1211
2023,RI,4509
2023,RN,2284
2023,RX,770
2023,SA,1724
2023,SB,68
2023,SC,4387
2023,SI,770
2023,SJ,2901
2023,SL,2930
2023,SP,1122
2023,ST,1498
2023,SW,150
2023,SWS,1817
2023,TA,551
2023,TH,1748
2023,TOD,246
2023,TRL,15005
2023,VIR,26055
2023,VV,711
2023,WE,1910
2023,WP,740
2023,WS,2523
2023,WY,2570
2023,YO,1334
2023,YW,2828
